Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
GiantsGiants,395,1547,3.9,7,89,22.5
BillsBills,500,1921,3.8,7,114,22.8
JetsJets,420,1473,3.5,8,93,22.1
PatriotsPatriots,505,1951,3.9,9,97,19.2
SteelersSteelers,399,1368,3.4,6,74,18.6
CowboysCowboys,423,1651,3.9,7,94,22.2
BearsBears,476,1835,3.9,9,112,23.5
SeahawksSeahawks,452,1660,3.7,12,106,23.4
BroncosBroncos,397,1418,3.6,6,86,21.7
49ers49ers,404,1800,4.5,6,109,27.0
LionsLions,433,1649,3.8,12,108,24.9
EaglesEagles,467,2080,4.4,11,91,19.5
ChargersChargers,414,1314,3.2,10,86,20.8
CardinalsCardinals,433,1861,4.3,13,106,24.5
RamsRams,480,1851,3.9,18,117,24.4
PackersPackers,424,1582,3.7,6,88,20.8
VikingsVikings,415,1536,3.7,14,98,23.6
ChiefsChiefs,453,1620,3.6,11,103,22.7
RaidersRaiders,494,1865,3.8,17,111,22.5
BrownsBrowns,451,1654,3.7,9,94,20.8
BengalsBengals,521,2220,4.3,15,134,25.7
DolphinsDolphins,460,1665,3.6,12,103,22.4
SaintsSaints,513,2090,4.1,7,116,22.6
OilersOilers,369,1273,3.4,9,73,19.8
BuccaneersBuccaneers,479,1994,4.2,15,109,22.8
RedskinsRedskins,513,2112,4.1,14,127,24.8
FalconsFalcons,419,1784,4.3,14,79,18.8
ColtsColts,575,2521,4.4,20,151,26.3
