Team,Rsh TD,Rec TD,Tot TD,2-PT
RedskinsRedskins,27,12,40,0
BroncosBroncos,20,26,47,0
SteelersSteelers,18,15,37,0
49ers49ers,17,24,42,1
EaglesEagles,16,19,38,0
SeahawksSeahawks,16,14,33,4
LionsLions,15,20,37,0
ChiefsChiefs,15,18,34,0
PatriotsPatriots,15,27,46,0
BillsBills,14,18,34,1
BengalsBengals,14,25,42,1
CowboysCowboys,14,12,26,0
DolphinsDolphins,14,22,41,0
JaguarsJaguars,13,19,33,2
OilersOilers,12,22,35,0
RavensRavens,10,34,45,2
RamsRams,10,18,34,2
SaintsSaints,10,13,23,2
FalconsFalcons,9,26,35,0
PanthersPanthers,9,22,33,1
BearsBears,9,19,29,0
PackersPackers,9,39,56,0
ColtsColts,9,16,30,0
JetsJets,8,22,32,0
CardinalsCardinals,8,23,32,1
BuccaneersBuccaneers,8,12,21,0
RaidersRaiders,7,28,37,0
VikingsVikings,7,24,33,0
ChargersChargers,7,23,32,0
GiantsGiants,4,14,23,0
