Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
ChiefsChiefs,521,2082,4.0,14,13,3,82T,108,20.7,7
BillsBills,519,2040,3.9,12,11,1,52,117,22.5,10
JaguarsJaguars,514,2091,4.1,20,10,5,52T,116,22.6,7
BuccaneersBuccaneers,502,1776,3.5,7,11,0,33,97,19.3,10
SteelersSteelers,495,1991,4.0,14,11,1,52,111,22.4,8
CowboysCowboys,493,2051,4.2,16,15,2,63,129,26.2,11
RaidersRaiders,488,2084,4.3,18,13,3,75,110,22.5,7
JetsJets,486,1961,4.0,7,11,1,50,111,22.8,9
BroncosBroncos,465,1864,4.0,13,13,3,71T,107,23.0,15
RedskinsRedskins,463,2039,4.4,23,9,3,76T,121,26.1,8
SaintsSaints,461,1690,3.7,9,10,0,33T,97,21.0,15
TitansTitans,459,1811,4.0,19,7,1,40T,109,23.8,9
DolphinsDolphins,445,1453,3.3,8,5,0,34T,81,18.2,6
BengalsBengals,442,2051,4.6,11,18,2,50,111,25.1,13
RavensRavens,431,1754,4.1,9,9,3,72T,87,20.2,2
RamsRams,431,2059,4.8,13,14,3,58,102,23.7,9
GiantsGiants,431,1408,3.3,11,6,1,40,87,20.2,13
PatriotsPatriots,425,1426,3.4,9,6,1,43,72,16.9,11
EaglesEagles,424,1746,4.1,5,13,0,29,76,17.9,10
VikingsVikings,422,1804,4.3,13,9,2,70T,96,22.8,7
ColtsColts,419,1660,4.0,15,9,4,72,89,21.2,11
49ers49ers,418,2095,5.0,14,17,4,68,102,24.4,9
ChargersChargers,410,1246,3.0,10,3,1,54,69,16.8,11
SeahawksSeahawks,408,1408,3.4,5,7,2,45,65,15.9,12
BearsBears,396,1387,3.5,4,2,1,49T,82,20.7,12
CardinalsCardinals,396,1207,3.0,13,4,1,58T,77,19.4,9
PackersPackers,386,1519,3.9,13,8,0,36,87,22.5,8
FalconsFalcons,373,1196,3.2,9,3,0,33T,68,18.2,13
PanthersPanthers,356,1525,4.3,12,12,5,67,78,21.9,8
LionsLions,356,1245,3.5,8,10,3,51T,67,18.8,7
BrownsBrowns,313,1150,3.7,9,6,1,40T,64,20.4,11
