Team,INT,INT TD,INT Yds,Lng
DolphinsDolphins,28,0,311,43
BroncosBroncos,27,5,343,79
LionsLions,25,2,340,101
BuccaneersBuccaneers,25,4,275,37
RavensRavens,23,1,477,98T
PackersPackers,21,1,315,47
RaidersRaiders,21,4,323,50
JetsJets,21,1,229,43
SaintsSaints,20,4,264,46
GiantsGiants,20,0,149,40
RamsRams,19,0,135,23
EaglesEagles,19,2,255,38
PanthersPanthers,17,2,199,88
TitansTitans,17,4,285,87
SteelersSteelers,17,0,154,33
SeahawksSeahawks,17,3,300,84
RedskinsRedskins,17,0,219,48
BillsBills,16,1,131,45T
CowboysCowboys,16,0,167,46
ChargersChargers,16,4,313,75
FalconsFalcons,15,1,287,60
ChiefsChiefs,15,2,198,42
ColtsColts,14,2,125,40
49ers49ers,13,2,278,70
BrownsBrowns,12,1,68,33T
JaguarsJaguars,12,0,145,39
BearsBears,11,4,254,61
PatriotsPatriots,10,0,161,56
CardinalsCardinals,10,0,151,48
BengalsBengals,9,1,107,36T
VikingsVikings,8,0,65,25
