Team,FF,FR,FR TD
ColtsColts,27,0,0
BroncosBroncos,22,0,0
DolphinsDolphins,22,0,0
EaglesEagles,22,0,0
BearsBears,21,0,0
SteelersSteelers,21,0,0
LionsLions,20,0,0
TexansTexans,20,0,0
ChiefsChiefs,20,0,0
RedskinsRedskins,20,0,0
RavensRavens,19,0,0
PanthersPanthers,19,0,0
BengalsBengals,19,0,0
GiantsGiants,19,0,0
RamsRams,18,0,0
CardinalsCardinals,18,0,0
CowboysCowboys,17,0,0
JaguarsJaguars,17,0,0
SeahawksSeahawks,17,0,0
BuccaneersBuccaneers,17,0,0
BillsBills,16,0,0
JetsJets,16,0,0
ChargersChargers,16,0,0
RaidersRaiders,15,0,0
FalconsFalcons,14,0,0
PackersPackers,14,0,0
TitansTitans,13,0,0
49ers49ers,13,0,0
BrownsBrowns,12,0,0
VikingsVikings,12,0,0
SaintsSaints,9,0,0
PatriotsPatriots,8,0,0
