Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
CardinalsCardinals,488,301,61.7,6.4,3097,17,15,158,32.4,37
PackersPackers,430,252,58.6,6.2,2680,22,10,143,33.3,35
EaglesEagles,503,297,59.0,6.6,3323,24,17,171,34.0,29
RamsRams,507,314,61.9,6.8,3424,26,13,178,35.1,41
TitansTitans,470,296,63.0,6.8,3216,33,9,180,38.3,41
RaidersRaiders,486,296,60.9,6.7,3243,18,5,165,34.0,36
PatriotsPatriots,527,296,56.2,7.0,3703,25,10,179,34.0,33
RavensRavens,525,296,56.4,5.6,2958,18,11,161,30.7,42
GiantsGiants,580,329,56.7,6.2,3584,20,17,189,32.6,41
DolphinsDolphins,549,323,58.8,6.0,3307,23,14,183,33.3,49
SaintsSaints,418,241,57.7,6.8,2849,20,10,145,34.7,25
BengalsBengals,519,324,62.4,6.9,3569,21,31,185,35.6,28
ChargersChargers,567,338,59.6,6.4,3599,20,10,189,33.3,46
LionsLions,487,295,60.6,6.4,3118,19,19,166,34.1,31
ColtsColts,509,343,67.4,6.2,3151,17,18,163,32.0,46
VikingsVikings,533,319,59.8,6.2,3332,23,24,177,33.2,34
ChiefsChiefs,559,325,58.1,6.6,3679,25,16,189,33.8,29
CowboysCowboys,495,271,54.8,6.2,3083,18,15,150,30.3,37
BrownsBrowns,471,279,59.2,6.1,2867,19,15,161,34.2,23
JaguarsJaguars,482,285,59.1,6.1,2946,22,19,158,32.8,47
BuccaneersBuccaneers,476,275,57.8,6.2,2929,15,17,148,31.1,36
RedskinsRedskins,535,291,54.4,5.8,3081,15,16,158,29.5,35
SeahawksSeahawks,571,331,58.0,6.2,3559,18,16,194,34.0,50
JetsJets,463,284,61.3,6.0,2755,17,21,151,32.6,30
BroncosBroncos,613,344,56.1,5.9,3643,20,20,183,29.8,28
BillsBills,503,314,62.4,6.5,3291,19,17,169,33.6,38
FalconsFalcons,526,320,60.8,6.0,3137,18,16,167,31.8,37
PanthersPanthers,528,305,57.8,5.8,3057,15,23,160,30.3,45
TexansTexans,469,304,64.8,7.5,3521,24,7,188,40.1,37
BearsBears,550,313,56.9,5.2,2872,10,24,153,27.8,41
49ers49ers,576,374,64.9,7.7,4427,28,16,205,35.6,28
SteelersSteelers,549,315,57.4,5.8,3168,15,15,179,32.6,47
