Team,FR TD,SFTY,INT TD
FalconsFalcons,0,0,0
RavensRavens,0,0,1
BillsBills,0,2,2
PanthersPanthers,0,0,1
BearsBears,0,0,1
BengalsBengals,0,1,1
BrownsBrowns,0,0,1
CowboysCowboys,0,0,2
BroncosBroncos,0,0,0
LionsLions,0,1,3
PackersPackers,0,0,1
TitansTitans,0,0,2
TexansTexans,0,0,0
ColtsColts,0,1,1
JaguarsJaguars,0,0,2
ChiefsChiefs,0,1,0
RamsRams,0,1,2
RaidersRaiders,0,1,2
DolphinsDolphins,0,0,1
VikingsVikings,0,0,6
PatriotsPatriots,0,0,3
SaintsSaints,0,1,3
GiantsGiants,0,0,3
JetsJets,0,0,0
EaglesEagles,0,0,0
CardinalsCardinals,0,0,6
SteelersSteelers,0,0,2
ChargersChargers,0,0,2
NinersNiners,0,1,0
SeahawksSeahawks,0,1,1
BuccaneersBuccaneers,0,0,1
RedskinsRedskins,0,2,2
