Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Miami Dolphins*,11,5,.688,340,281,59,3.7,-2.2,1.5,2.1,-0.6
Buffalo Bills+,11,5,.688,381,283,98,6.1,-1.9,4.3,4.7,-0.4
Indianapolis Colts,9,7,.563,216,302,-86,-5.4,-1.6,-7.0,-6.0,-1.0
New York Jets,4,12,.250,220,315,-95,-5.9,-0.9,-6.9,-6.0,-0.9
New England Patriots,2,14,.125,205,363,-158,-9.9,-1.1,-11.0,-6.5,-4.5
Pittsburgh Steelers*,11,5,.688,299,225,74,4.6,-1.0,3.6,-0.4,4.0
Houston Oilers+,10,6,.625,352,258,94,5.9,-0.3,5.5,3.0,2.6
Cleveland Browns,7,9,.438,272,275,-3,-0.2,-0.8,-1.0,-2.0,1.0
Cincinnati Bengals,5,11,.313,274,364,-90,-5.6,-1.0,-6.6,-0.9,-5.7
San Diego Chargers*,11,5,.688,335,241,94,5.9,-2.8,3.1,1.9,1.3
Kansas City Chiefs+,10,6,.625,348,282,66,4.1,-0.7,3.4,3.7,-0.2
Denver Broncos,8,8,.500,262,329,-67,-4.2,0.8,-3.4,-1.4,-1.9
Los Angeles Raiders,7,9,.438,249,281,-32,-2.0,0.4,-1.6,-3.2,1.5
Seattle Seahawks,2,14,.125,140,312,-172,-10.8,0.8,-10.0,-9.8,-0.2
